user_id,task_id,turn_id,ground_truth,expected_tool_call,agent_name,agent_role,agent_task,system_prompt,agent_response,trace,tools_available,tool_calls,parameters_passed,tool_call_results,retrieval_query,retrieved_context,exit_status,agent_exit,metadata
,2218f641-604c-491a-9710-b51a9941b982,3ce2e35e-4518-43b4-8a76-4413da6832ea,,,agent,agent,What are the benefits of using Noveum Trace?,You are a helpful customer support agent,,,"[{""name"": ""query_routing"", ""description"": ""Routes queries to appropriate handlers"", ""args_schema"": {}, ""return_schema"": {""type"": ""routing_decision""}}]",[],{},[],,,ok,False,
,255fd49c-84b4-4b18-887e-6308a412d535,c0c39e8b-9a42-4c18-8737-9224cd8a45c0,,,agent,agent,How do I configure Noveum for my system?,You are a helpful customer support agent,,,"[{""name"": ""query_routing"", ""description"": ""Routes queries to appropriate handlers"", ""args_schema"": {}, ""return_schema"": {""type"": ""routing_decision""}}]",[],{},[],,,ok,False,
,dc511122-c0b6-415c-9a49-c7b45132dd87,80987c51-ea82-4a41-97c7-ed591082b9bf,,,agent,agent,What monitoring capabilities does Noveum provide?,You are a helpful customer support agent,,,"[{""name"": ""query_routing"", ""description"": ""Routes queries to appropriate handlers"", ""args_schema"": {}, ""return_schema"": {""type"": ""routing_decision""}}]",[],{},[],,,ok,False,
,04bebf38-a343-4563-80db-0154bef8d927,2f89c1e0-9b62-4651-914c-b71cf561c33c,,,agent,agent,How does Noveum handle agent tracing?,You are a helpful customer support agent,,,"[{""name"": ""query_routing"", ""description"": ""Routes queries to appropriate handlers"", ""args_schema"": {}, ""return_schema"": {""type"": ""routing_decision""}}]",[],{},[],,,ok,False,
,5e043630-6493-42b5-beb8-79faa19bfa37,e30e3e61-6edd-4b62-ab77-627faa2bf741,,,agent,agent,What APIs are available in Noveum platform?,You are a helpful customer support agent,,,"[{""name"": ""query_routing"", ""description"": ""Routes queries to appropriate handlers"", ""args_schema"": {}, ""return_schema"": {""type"": ""routing_decision""}}]",[],{},[],,,ok,False,
,7da9814d-a2e8-4c4e-b750-68b26bd5fd22,2f513795-764f-4eb6-8dd2-108d4cdf8432,,,agent,agent,How do I set up observability with Noveum?,You are a helpful customer support agent,,,"[{""name"": ""query_routing"", ""description"": ""Routes queries to appropriate handlers"", ""args_schema"": {}, ""return_schema"": {""type"": ""routing_decision""}}]",[],{},[],,,ok,False,
,16143f74-2831-4753-b33d-ce4b645093c5,29c7a515-2383-4b7d-8fc7-beac3f403641,,,agent,agent,What features does Noveum Trace offer?,You are a helpful customer support agent,,,"[{""name"": ""query_routing"", ""description"": ""Routes queries to appropriate handlers"", ""args_schema"": {}, ""return_schema"": {""type"": ""routing_decision""}}]",[],{},[],,,ok,False,
,fc64e6cc-6739-4256-ac4a-7b80c3028233,12fee687-2a2e-401f-83c2-9c8dc7ecd853,,,agent,agent,What are Noveum's pricing plans?,You are a helpful customer support agent,,,"[{""name"": ""query_routing"", ""description"": ""Routes queries to appropriate handlers"", ""args_schema"": {}, ""return_schema"": {""type"": ""routing_decision""}}]",[],{},[],,,ok,False,
,b7945c49-f584-4c70-972d-536a805d8a31,9c5aec32-b6eb-4c42-93d5-3970fb118c00,,,agent,agent,How do I integrate Noveum Trace in my application?,You are a helpful customer support agent,,,"[{""name"": ""query_routing"", ""description"": ""Routes queries to appropriate handlers"", ""args_schema"": {}, ""return_schema"": {""type"": ""routing_decision""}}]",[],{},[],,,ok,False,
,f5c40ecf-36c0-45ba-9cc9-dc0329b0324b,f132d053-f82c-4e66-adf4-bd7ce68b660d,,,agent,agent,What is Noveum and what does it do?,You are a helpful customer support agent,,,"[{""name"": ""query_routing"", ""description"": ""Routes queries to appropriate handlers"", ""args_schema"": {}, ""return_schema"": {""type"": ""routing_decision""}}]",[],{},[],,,ok,False,
